,type,rcvTime,pos,noise,spd,spd_noise,sendTime,sender,messageID,pos_noise,RSSI
267,2,10819.8,"[3598.9816048417806, 6042.170951722123, 1.895]","[0.0, 0.0, 0.0]","[3.236318729300106, 30.647090550380483, 0.0]","[0.0, 0.0, 0.0]",,,,,
268,2,10819.9,"[3599.3048160476346, 6045.231677170149, 1.895]","[0.0, 0.0, 0.0]","[3.235995405860412, 30.64402876207142, 0.0]","[0.0, 0.0, 0.0]",,,,,
269,2,10820.0,"[3599.627761639136, 6048.289887319842, 1.895]","[0.0, 0.0, 0.0]","[3.2333360710102372, 30.618845557704336, 0.0]","[0.0, 0.0, 0.0]",,,,,
270,3,10820.068188367857,"[5560.0, 5820.0, 1.895]",,"[2.712745690253487, -32.22395152905128, 0.0]","[0.0, 0.0, 0.0]",10820.068074076204,49.0,3257.0,"[0.0, 0.0, 0.0]",2.4358152173413255e-09
271,2,10820.1,"[3599.9506115159425, 6051.347191076446, 1.895]","[0.0, 0.0, 0.0]","[3.232377774055699, 30.609770736595483, 0.0]","[0.0, 0.0, 0.0]",,,,,
272,2,10820.199999999999,"[3600.2738030949185, 6054.4077306630825, 1.895]","[0.0, 0.0, 0.0]","[3.2357989012688, 30.64216791507328, 0.0]","[0.0, 0.0, 0.0]",,,,,
273,2,10820.3,"[3600.596231332923, 6057.461041610687, 1.895]","[0.0, 0.0, 0.0]","[3.228156320090753, 30.569794673438743, 0.0]","[0.0, 0.0, 0.0]",,,,,
274,2,10820.4,"[3600.9194572567467, 6060.521906434037, 1.895]","[0.0, 0.0, 0.0]","[3.236142762395879, 30.645424189895376, 0.0]","[0.0, 0.0, 0.0]",,,,,
275,2,10820.5,"[3601.243073210982, 6063.586464743204, 1.895]","[0.0, 0.0, 0.0]","[3.240047752677807, 30.682403424877734, 0.0]","[0.0, 0.0, 0.0]",,,,,
276,2,10820.6,"[3601.566293721653, 6066.64727830541, 1.895]","[0.0, 0.0, 0.0]","[3.23608856582693, 30.644910962555556, 0.0]","[0.0, 0.0, 0.0]",,,,,
277,2,10820.699999999999,"[3601.8887757680936, 6069.701098804812, 1.895]","[0.0, 0.0, 0.0]","[3.228695050959043, 30.574896313630507, 0.0]","[0.0, 0.0, 0.0]",,,,,
278,2,10820.8,"[3602.211986472727, 6072.761819506412, 1.895]","[0.0, 0.0, 0.0]","[3.235990387630953, 30.64398124078904, 0.0]","[0.0, 0.0, 0.0]",,,,,
279,2,10820.9,"[3602.5354127979153, 6075.824582078182, 1.895]","[0.0, 0.0, 0.0]","[3.238149183838332, 30.66442447532823, 0.0]","[0.0, 0.0, 0.0]",,,,,
280,2,10821.0,"[3602.8581612018797, 6078.880924913557, 1.895]","[0.0, 0.0, 0.0]","[3.231361826449264, 30.60014997893929, 0.0]","[0.0, 0.0, 0.0]",,,,,
